"","NCT.Number","Study.Title","Study.Status","Brief.Summary","Study.Results","Conditions","Interventions","Primary.Outcome.Measures","Sex","Age","Phases","Enrollment","Funder.Type","Study.Type","Study.Design","Start.Date","Primary.Completion.Date","Completion.Date","First.Posted","Results.First.Posted","Last.Update.Posted","Locations","type_intervention"
"569","NCT01232764","Pressure Ulcer Multi-disciplinary Teams Via Telemedicine (PUMTT): A Trial in Long Term Care","COMPLETED","The purpose of this study is to evaluate the effectiveness of 'enhanced' multi-disciplinary wound care teams (MDTs) vs. 'usual' care teams in Long Term Care (LTC) facilities in Ontario for the treatment of pressure ulcers. LTC facilities with more than 100 beds that are within a 100 km distance from St. Mikes and have a problem with pressure ulcers will be asked to participate. A total of 10 LTC facilities will be randomly selected (i.e. selected by chance) from those that agree to participate.

The 'enhanced' MDT will be an Advance Practice Nurse(APN) with expertise in wound care who has direct access to the wound care team at St. Mikes. This APN will develop treatment plans in consultation with facility staff, providing targeted pressure ulcer treatment education on an ongoing, case by case basis. Care is supported by telemedicine with the use of digital photography and online communication between members of the care team.

This study is a stepped wedge randomized trial, meaning LTC facilities are assigned to a start date for this study totally by chance. Changes in healing rates, wound related pain, cost, number of new pressure ulcers, and number of wounds healed will be measured before, and after the APN is introduced to facilities. In order to gain more insight into how people felt about this model of care, interviews will be held with individuals and groups of staff at 5 randomly selected facilities before, during, and after the study has been completed.","NO","Pressure Ulcers|Multi-disciplinary Wound Care Teams|Remote Support|Digital Wound Photography","OTHER: Exposure to multi-disciplinary wound care team","Rate of reduction in wound surface area (cm2/days), 6 mths","ALL","ADULT, OLDER_ADULT","PHASE3",137,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: |Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH","2010-10","2012-03","2012-03","2010-11-02","","2012-09-28","12 Long Term Care Facilities, Toronto, Ontario, Canada","other"
"570","NCT05537064","Centralized Prescribing for Statins","ACTIVE_NOT_RECRUITING","This pilot study consists of a pair of pragmatic clinical trials that will evaluate two separate methods for optimizing referral of eligible patients to a centralized pharmacy service for statin management: 1) A stepped wedge clinical trial, with randomization at the level of the provider, evaluating a visit-based nudge for referral to pharmacy services versus usual care; 2) A cluster randomized trial, with randomization at the level of the practice, evaluating a non-visit based nudge for referral to pharmacy services versus usual care.","NO","Hyperlipidemias","BEHAVIORAL: Non-visit Based Intervention|BEHAVIORAL: Visit-Based Intervention","Number of Participants Prescribed a Statin (population level), The primary outcome is the prescription of a statin for eligible patients during the 9-month timeframe, assessed among all patients assigned to the physician or office eligible for but not prescribed a high-intensity statin at the start of the trial. The primary outcome will be compared between patients seeing physicians, or seen at practices, randomized to the intervention vs. usual care., 9 months|Number of Participants Prescribed a Statin (office-visit level), The primary outcome is the prescription of a statin for eligible patients during the 9-month timeframe, assessed among all patients who had an office visit during the study period and were eligible for but not prescribed a high-intensity statin at the start of the trial. The primary outcome will be compared between patients seeing physicians, or seen at practices, randomized to the intervention vs. usual care., 9 months","ALL","ADULT, OLDER_ADULT",NA,1950,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH","2022-11-02","2023-06-13","2024-12","2022-09-13","","2023-10-12","Lancaster General Hospital, Lancaster, Pennsylvania, 17602, United States","behavioral"
"571","NCT02578979","Serial ECG Versus Holter to Detect Atrial Fibrillation in Elderly Ischemic Stroke Patients","COMPLETED","Paroxysmal atrial fibrillation is often undetected because characteristics such as short duration, episodic, and frequently asymptomatic nature make it challenging to diagnose at the bedside, leading to suboptimal secondary prevention. It is not uncommon for paroxysmal atrial fibrillation to be undetected in a single electrocardiogram (ECG) on admission. Conventional 24-hour Holter monitoring is often used to detect paroxysmal atrial fibrillation. However, systematic review suggests Holter monitoring will identify atrial fibrillation in only an additional 4.6% of patients, no better than detection rates observed in groups lacking routine monitoring. On the other hand, for ischemic stroke patients with sinus rhythm at baseline but paroxysmal atrial fibrillation still suspected, no recommendation beyond repeated 12-lead ECGs is made in the United Kingdom guideline. Serial 12-lead ECG has been used to detect possible paroxysmal atrial fibrillation among acute ischemic stroke patients and found 15 new cases of atrial fibrillation in 133 acute ischemic stroke patients (11.3%) without atrial fibrillation at baseline. The optimal investigation strategy, including modality, duration of investigation, and patient subgroup remains undefined, not only for efficacy in the detection of atrial fibrillation, but also cost-effectiveness in healthcare systems. The objective of this project is to conduct a pragmatic multicenter randomized controlled trial for the comparison of serial 12-lead ECG once daily for 5 days and 24-hour Holter to detect paroxysmal atrial fibrillation in acute ischemic stroke patients without atrial fibrillation identified by baseline ECG or history.","NO","Ischemic Stroke","DEVICE: Electrocardiogram|DEVICE: Holter","Number of atrial fibrillation detected, within 3 month of stroke onset","ALL","OLDER_ADULT",NA,826,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC","2015-10-01","2018-07-31","2018-10-31","2015-10-19","","2019-07-08","Chia-yi Christian Hospital, Chiayi City, 600, Taiwan|Dalin Tzu Chi General Hospital, Dalin, 622, Taiwan|Chang Gung Memorial Hospital, Keelung Branch, Keelung, 204, Taiwan|Chang Gung Memorial Hospital, Chiayi Branch, Puzih, 613, Taiwan|National Taiwan University Hospital, Taipei City, 100, Taiwan|Chang Gung Memorial Hospital, Linkuo Branch, Taoyuan, 333, Taiwan","device"
"572","NCT02459184","addressInG iNcome securITy in Primary carE","UNKNOWN","Social processes that impact the health of individuals have been labeled the social determinants of health (SDOH). These are ""the conditions in which people are born, grow, live, work and age. These circumstances are shaped by the distribution of money, power and resources at global, national and local levels"". Perhaps the most important SDOH is income security, a person's actual, perceived and expected income. Our objective is to carry out a pragmatic randomized controlled trial that evaluates the impact of an income-focused health promoter.","NO","Poverty|Income|Social Determinants of Health","OTHER: Income Security Health Promotion","Change in monthly income from baseline to 6 months after intervention, Change in monthly income from baseline to 6 months after intervention, 6 months","ALL","ADULT, OLDER_ADULT",NA,284,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2017-09-01","2021-07-09","2022-01-31","2015-06-01","","2021-09-28","St. Michael's Hospital, Toronto, Ontario, M5B1W8, Canada","other"
"573","NCT05747079","Immediate Versus Optional Delayed Surgical Repair for Treatment of Acute ACL Injuries","RECRUITING","Currently, most patients with an anterior cruciate ligament injury undergo surgery. There is a general belief that surgical reconstruction is necessary to safely return to sports and to prevent early knee osteoarthritis or additional meniscus injuries. But there is insufficient scientific evidence to support this belief. Moreover, several studies show that surgical reconstruction of the cruciate ligament does not guarantee successful return to sports or the prevention of osteoarthritis and secondary meniscus injuries. Therefore, immediate surgery after an anterior cruciate ligament injury is questioned. So far, only two RCTs (KANON study and COMPARE study) have assessed this, and they could not show that immediate reconstruction is an added value (in terms of symptoms, knee function, activity level, osteoarthritis or additional meniscal injuries) compared to a conservative approach consisting of rehabilitation and late surgery for persistent knee instability.

Therefore, this additional multicenter RCT, aims to 1) verify these results and 2) to identify predictors that predict which patients in the conservative group will not require late surgery. This has not been investigated to date. It is suspected that factors such as symptoms, strength, findings on the MRI scan and psychological factors may play a role in whether or not a patient will be able to successfully rehabilitate without surgical repair.

This information is invaluable to physicians because it allows them to decide which treatment is best for the patient.","NO","ACL Injury","OTHER: Rehabilitation|PROCEDURE: Optional delayed anterior cruciate ligament reconstruction|PROCEDURE: Immediate anterior cruciate ligament reconstruction","Clinical effectiveness (long-term), Knee Injury and Osteoarthritis Outcome Score - Subscale Quality of Life (score between 0-100, higher scores mean better outcome), 12 months post-injury|Clinical effectiveness (short-term), Knee Injury and Osteoarthritis Outcome Score - Subscale Quality of Life (score between 0-100, higher scores mean better outcome), 7 months post-injury","ALL","CHILD, ADULT, OLDER_ADULT",NA,280,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2023-03-02","2026-03-02","2028-03-02","2023-02-28","","2023-11-13","UZ Leuven, Leuven, 3000, Belgium","other"
"574","NCT02984384","PREVENTion of Clot in Orthopaedic Trauma","COMPLETED","The purpose of this study is to compare aspirin versus low-molecular weight heparin (LMWH) (Enoxaparin) as a thromboprophylaxis in patients who sustain a fracture.","NO","Blood Clot|Trauma","DRUG: Acetylsalicylic acid|DRUG: Low Molecular Weight Heparin (LMWH)","All-cause mortality, 90 days","ALL","ADULT, OLDER_ADULT","PHASE3",12211,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION","2017-04-24","2022-02-18","2022-02-18","2016-12-06","","2022-10-10","University of Arizona, Tucson, Arizona, 85724, United States|University of Miami Ryder Trauma Center, Miami, Florida, 33136, United States|Methodist Hospital, Indianapolis, Indiana, 46202, United States|University of Maryland R Adams Cowley Shock Trauma Center, Baltimore, Maryland, 21201, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|University of Mississippi Medical Center, Jackson, Mississippi, 39216, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States|Carolinas Medical Center, Charlotte, North Carolina, 28204, United States|Wake Forest University Baptist Medical Center, Winston-Salem, North Carolina, 27157, United States|MetroHealth Medical Center, Cleveland, Ohio, 44109, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, 15212, United States|Rhode Island Hospital, Brown University, Providence, Rhode Island, 02903, United States|University of Tennessee, RegionOne Medical Center, Memphis, Tennessee, 38103, United States|Vanderbilt Medical Center, Nashville, Tennessee, 37232, United States|University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States|San Antonio Military Medical Center, San Antonio, Texas, 78219, United States|Inova Fairfax Hospital, Falls Church, Virginia, 22042, United States|Harborview Medical Center, Seattle, Washington, 98104, United States|University of Wisconsin, Madison, Wisconsin, 53705, United States|University of Calgary, Foothills Medical Centre, Calgary, Alberta, Canada|McMaster University, Hamilton General Hospital, Hamilton, Ontario, Canada","drug"
"575","NCT00545584","Addition Of Januvia (Sitagliptin) Improves Glycemic Control In Patients Inadequately Controlled By Metformin (MK0431-078)","COMPLETED","To compare the efficacy of three strategies of lifestyle changes associated with Januvia (sitagliptin) 100 mg/day in patients with Type 2 Diabetes Mellitus (T2DM) inadequately controlled by metformin (hemoglobin A1c \[HbA1c\] 6.5-9%). A difference between the three strategies of lifestyle changes was expected.","YES","Diabetes Mellitus, Non-Insulin-Dependent","DRUG: sitagliptin phosphate|BEHAVIORAL: Comparator: Diet|BEHAVIORAL: Comparator: Physical Activity","Hemoglobin A1c Measurement, Hemoglobin A1c (HbA1c) is a measure of glycated hemoglobin in the blood. HbA1c greater than 6.5% was considered inadequately controlled., Baseline and Week 24","ALL","ADULT, OLDER_ADULT","PHASE3",1512,"INDUSTRY","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2007-04-01","2009-11-19","2009-11-19","2007-10-17","2011-04-19","2017-05-12","","drug"
"576","NCT04618484","Biomodulating Rotator Cuff Healing - A Proof of Concept Trial","RECRUITING","Novel concepts in quantum biology of rotator cuff repair and author's novel findings on biomodulation inspired us to design a pragmatic non-pharmacological add-on rehabilitation protocol that may potentially decrease retear rates after arthroscopic repair using a knotted suturebridge technique. In this proof-of-concept trial, 146 patients will be randomized 1:1 to either a 6-weeks post-operative cryo-, photo- and electro-biomodulation protocol or a control group immobilized in a standard abduction sling for 6 weeks. Healing will be evaluated using the Sugaya classification on MRI at 1 year post-operatively.","NO","Rotator Cuff Tears","OTHER: Biomodulation (non-pharmacological)","Healing of rotator cuff tear, Healing will be evaluated using the Sugaya classification on MRI, 1 year post-operatively","ALL","ADULT, OLDER_ADULT",NA,146,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2021-12-01","2024-05","2024-12","2020-11-06","","2023-07-03","Clinique Générale d'Annecy, Annecy, France","other"
"577","NCT04660084","Impact of Molecular Testing on Improved Diagnosis, Treatment and Management of CAP","TERMINATED","Investigators will recruit patients suspected of community-acquired pneumonia at Haukeland University Hospital, Bergen, into a pragmatic randomized controlled trial to assess if provision of ultra-rapid, high-quality accurate molecular diagnostics with direct feedback to the clinician can facilitate pathogen-directed usage of antibiotics, shorten antibiotic exposure and admission time and is safe. Additionally, transcriptional and immune marker profiling of patients will guide appropriate management through a targeted focus on the individual patient's physical capacity, nutritional status and co- morbidities. The pragmatic design of this trial together with broad inclusion criteria and a straightforward intervention would make our results generalisable to other similar centres.","NO","Pneumonia","DIAGNOSTIC_TEST: Ultra-rapid molecular point-of-care testing","The provision of pathogen-directed treatment based on a microbiological test result deemed as clinically relevant within 48 hours of receipt of respiratory samples., Binary outcome: yes: it was provided/no: it was not provided, ""Up to 72 hours""|Time in hours from receipt of respiratory specimens to receiving pathogen-directed treatment, Quantitative outcome (measured in hours): time from receipt of respiratory specimens to provision of pathogen-directed treatment based on a microbiological test result deemed as clinically relevant or an elapse of 48 hours, whichever event came first., ""Up to 72 hours""","ALL","ADULT, OLDER_ADULT",NA,374,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: DIAGNOSTIC","2020-09-25","2022-06-21","2022-06-21","2020-12-09","","2023-10-26","Haukeland University Hospital, Bergen, 5098, Norway","diagnostic_test"
"578","NCT03869879","Mobility Rehab, a Therapist-assisted System for Gait Rehabilitation","UNKNOWN","Phase II of this study includes a pragmatic clinical trial which will take place at Northwest Rehabilitation Associates (NWRA) in Salem, OR to verify the efficacy of the system in a physical therapy clinic.","NO","Parkinson Disease|Stroke|Multiple Sclerosis|Gait Disorders, Neurologic|Gait Disorder, Sensorimotor|Gait, Unsteady|Gait Ataxia|Gait, Stumbling|Gait, Shuffling","OTHER: Feedback-assisted physical therapy|OTHER: Traditional physical therapy","Activities-Specific Balance Confidence (ABC) Scale, This questionnaire measures an individual's perception of their own balance. Individuals use a scale ranging from 0% to 100% in rating the amount of confidence they have in their balance during 16 hypothetical daily-life activities. A score of 100% would represent one being fully confident in their balance during a specific task, while a score of 0% would represent one having no confidence at all in their balance. Total score ranges from 0 to 1600., Collected at a participant's baseline visit and final study visit, after an average of one month","ALL","ADULT, OLDER_ADULT",NA,300,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2019-07-24","2021-05-30","2021-05-30","2019-03-11","","2020-05-11","Northwest Rehabilitation Associate, Salem, Oregon, 97302, United States","other"
"579","NCT04523779","A Pragmatic Trial of Brief CBT for Anxiety in VA Primary Care","ENROLLING_BY_INVITATION","This 4-year study will examine the value of a type of a brief cognitive behavioral therapy treatment for Veterans with anxiety and worry. This treatment will be delivered either in-person, or by video telehealth to the Veteran's home. The treatment will be delivered by providers at three Veterans Administration Medical Centers (Houston, New Orleans, and San Antonio). The study will compare the helpfulness of this treatment to the usual care Veterans receive for anxiety and worry. A supplement to this study will also evaluate daily discrimination experiences of Veterans based on the participant's race, ethnicity, religion, physical appearance, or other characteristics.","NO","Anxiety","BEHAVIORAL: Brief Cognitive Behavioral Therapy","GAD-7 Change, The GAD-7 is a seven-item self-report instrument for screening, diagnosis and severity assessment of anxiety disorder. It is psychometrically strong and valid for use in the primary care setting. A GAD-7 score of 10 or higher will be required for study inclusion. Treatment response will be defined as a 50% reduction in baseline GAD-7 scores. The GAD-7 total score for the seven items ranges from 0 to 21: 0-4 Minimal anxiety; 5-9 Mild anxiety; 10-14 Moderate anxiety; 15-21 Severe anxiety., Baseline, 4-, 8-, and 12-month","ALL","ADULT, OLDER_ADULT",NA,225,"FED","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2022-01-03","2025-02-28","2025-05-31","2020-08-24","","2023-12-13","Southeast Louisiana Veterans Health Care System, New Orleans, LA, New Orleans, Louisiana, 70119, United States|Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, 77030-4211, United States|South Texas Health Care System, San Antonio, TX, San Antonio, Texas, 78229, United States","behavioral"
"580","NCT03394079","Optical Coherence Tomography Versus Intravascular Ultrasound Guided Percutaneous Coronary Intervention","ACTIVE_NOT_RECRUITING","The primary aim of this study is to compare the clinical efficacy and safety of OCT-guided(optical coherence tomography (OCT)-guided) and IVUS-guided(Intravascular ultrasound (IVUS)-guided) strategies in patients undergoing Percutaneous coronary intervention (PCI) with contemporary drug-eluting stents (DES) or drug-coated balloons (only for in-stent restenosis) for significant obstructive Coronary artery disease (CAD).

The investigators hypothesize that OCT-guided PCI is non-inferior to IVUS-guided PCI with respect to primary end point of target-vessel failure (cardiac death, target-vessel myocardial infarction \[MI\], or ischemia-driven target-vessel revascularization \[TVR\]) at 1 year after randomization.","NO","Coronary Vessels","PROCEDURE: PCI","Rate of target vessel failure, A composite of cardiac death, target-vessel MI or ischemia-driven TVR) at 1 year after randomization.

A composite endpoint is an endpoint that is a combination of multiple clinical endpoints. An event is considered to have occurred if any one of several different events is observed., 1 year","ALL","ADULT, OLDER_ADULT",NA,2008,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2018-04-12","2023-02-17","2028-01-31","2018-01-09","","2023-12-20","Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of|Konyang University Hospital, Daejeon, Korea, Republic of|Chonnam National University Hospital, Gwangju, Korea, Republic of|Pusan National University Hospital, Pusan, Korea, Republic of|Asan Medical Hospital, Seoul, Korea, Republic of|Chung-Ang university hospital, Seoul, Korea, Republic of|Gangnam Severance Hospital, Seoul, Korea, Republic of|Korea University Anam Hospital, Seoul, Korea, Republic of|Kyung hee university hospital, Seoul, Korea, Republic of","procedure"
"581","NCT05514184","Plant-Focused Nutrition in Patients With Diabetes and Chronic Kidney Disease","NOT_YET_RECRUITING","In this pilot clinical trial, the investigators will recruit and randomize 120 patients with diabetes mellitus and chronic kidney disease (CKD/DM) stages 3 to 5 to a patient-centered and flexible Plant-Focused Nutrition in Diabetes (PLAFOND) diet with \>2/3 plant-based sources, which will be compared with a standard-of-care CKD diet, which is usually a low-potassium and low-salt diet, over a 6-month period. Through this study, the investigators will determine whether the plant-focused diet intervention is feasible for patient adherence, whether this diet is safe by avoiding malnutrition, frailty, and high potassium or glucose blood levels, and whether patient reported outcomes are favorably impacted.","NO","Chronic Kidney Disease (CKD) With Diabetes Mellitus (DM)|CKD Stage 3|CKD Stage 4|CKD Stage 5|Diabetes Mellitus|Diabetic Kidney Disease","DIETARY_SUPPLEMENT: PLAFOND diet","Dietary adherence to PLAFOND vs. standard-of-care renal diet assessed by diet diaries, Dietary Adherence including separation in dietary plant-based proportions of \>2/3 vs \<1/3 at 3- and 6-months will be ascertained by 3-day diet diaries in all 120 participants as the primary outcome., 6 months","ALL","ADULT, OLDER_ADULT",NA,120,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2023-10-01","2026-03-30","2026-09-30","2022-08-24","","2023-07-03","","dietary_supplement"
"582","NCT02241538","Effectiveness of Different Weekly Frequency of Modified Pilates Method Exercises in the Treatment of Chronic Nonspecific Low Back Pain","COMPLETED","Low back pain is a major cause of disability and absenteeism and the supervised exercise is a recommended treatment by the guidelines and has been cost-effective. Currently, the Pilates method has shown to be effective in improving pain and disability in patients with chronic low back pain (CLBP). However, there is still no evidence about the ideal number of sessions for the treatment and the interval between sessions to achieve better efficacy of this method for these patients. Thus, the aim of this study is to investigate the effectiveness of the Pilates method with different weekly frequency of sessions in the treatment of patients with nonspecific CLBP. Investigators will assess 296 patients of both genders, with nonspecific CLBP lasting more than three months and aged between 18 and 80 years. Participants will be randomly divided into four groups (n = 74 patients per group): Control Group will receive an educational booklet and no additional exercise, Pilates 1 Group will receive a program of exercises based on Pilates method once a week for six weeks, Pilates 2 Group will receive the same program of exercises twice a week for six weeks and Pilates 3 Group will receive the same program of exercises three times a week for six weeks. The outcomes overall disability (Roland Morris Disability questionnaire), specific disability (Patient-Specific Functional scale), kinesiophobia (Tampa scale for kinesiophobia), pain intensity (Pain Numerical Rating scale) and global perceived effect (Global Perceived Effect scale) will be assessed by a blinded assessor before, six weeks, six and 12 months after randomization. Investigators expect that the largest number of weekly sessions of Pilates method may influence the results in all analyzes (short, medium and long term), since there is a relationship between frequency of exercises and effect size of the treatment.","NO","Low Back Pain","DEVICE: Pilates 1|DEVICE: Pilates 2|DEVICE: Pilates 3|DEVICE: Control","Pain intensity, Pain intensity will be measured by an 11-point Pain Numerical Rating Scale, Six weeks after randomization|Disability, Disability associated with low back pain will be measured by the 24-item Roland Morris Disability Questionaire, Six weeks after randomization","ALL","ADULT, OLDER_ADULT",NA,296,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2014-09","2017-06","2017-06","2014-09-16","","2017-09-06","Physical Therapy Outpatient Department, Sao Paulo, SP, 03071000, Brazil","device"
"583","NCT04801238","preGallstep - A Clinical Pilot Trial","RECRUITING","In Denmark, more than 7500 cholecystectomies are performed every year. Common bile duct gallstones (CBDS) are found in 3.4% to 18% of patients undergoing cholecystectomy. A two-step approach including endoscopic retrograde cholangiography (ERC) with stone extraction and papillotomy with subsequent laparoscopic cholecystectomy has become gold standard for treatment of CBDS in Denmark. However, ERC is associated with a high risk of complications and more than 50% of patients require multiple ERCs. Recent meta analyses find that a one-step approach might be superior in terms of safety, CBDS clearance rate, hospital stay, operative time, hospital cost and stone recurrence, but much more data is needed.

The preGallstep trial is an investigator-initiated multicentre randomised clinical pilot trial with blinded outcome assessment investigating a novel one-step laparoscopic cholecystectomy with common bile duct exploration and stone extraction versus conventional two-step endoscopic retrograde cholangiography with stone extraction plus a subsequent laparoscopic cholecystectomy for patients with CBDS. After enrolment, the participant will be randomised to one of the two treatment approaches. Adult patients with imaging confirmed CBDS are eligible for inclusion. Potential postoperative complications will be assessed within 90 days following the procedure.

The primary outcome is the proportion of serious adverse events (corresponding to a Clavien-Dindo score II or above) requiring re-intervention within 90 days of the initial procedure. This outcome will be used for a future sample size calculation. The sample size estimate, the inclusion rate and the estimated length of subsequent trial will be used to determine the feasibility of a large pragmatic and confirmatory trial.

We hypothesize that the one-step approach will significantly reduce the risk of complications and number of treatments needed thereby making a difference to hundreds of people in Denmark each year.","NO","Pancreatitis|Cholangitis|Cholecystitis; Gallstone|Jaundice, Obstructive","PROCEDURE: LCBDE + LC|PROCEDURE: ERC + LC","Postoperative complications, Proportion of participants with postoperative complications corresponding to a Clavien-Dindo score of 2-5, 90 days","ALL","ADULT, OLDER_ADULT",NA,150,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2021-04-01","2023-12-31","2024-03-01","2021-03-16","","2023-08-16","Digestive disease center, Bispebjerg Hospital, Copenhagen NV, Not In US/Canada, 2400, Denmark","procedure"
"584","NCT05365308","EHR-based Patient Identification and Panel Management of Patients With Iron Deficiency Anemia","COMPLETED","The objective is to determine if a set of clinical supports that includes computer-assisted identification, an EHR registry, facilitated GI referral, and an EHR tool for documentation improves the timely referral and completion of bidirectional endoscopy in men aged 18 years and older and women aged 40 years and older with iron deficiency anemia.","NO","Iron-deficiency Anemia","BEHAVIORAL: Clinical supports","Bidirectional endoscopy completed, Completion of upper and lower endoscopy, assessed using automated queries of the Northwestern Medicine Enterprise Data Warehouse occurring within the three years prior to the study start date and the 120 days following the study start date.

Specificially, presence of one or more terms for a completed procedure from the code set for Espohagoduodenoscopy/Upper Endoscopy and one or more terms from the code set for Colonoscopy within the indicated time frame constitutes completion of the measure.

Note:the investigators use a three-year look back because eligible patients may have completed either upper or lower endoscopy previously and only require one form of endoscopy during the study period., 120 days","ALL","ADULT, OLDER_ADULT",NA,16,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH","2022-02-28","2022-06-28","2023-01-11","2022-05-09","","2023-02-08","Northwestern University, Division of General Internal Medicine, Chicago, Illinois, 60611, United States|Stephen D Persell, Chicago, Illinois, 60611, United States","behavioral"
"585","NCT04360408","The Energy Conservation Education Intervention","UNKNOWN","Fatigue is the most common symptom reported by 70 - 85 % of people with end-stage kidney disease (ESKD) receiving haemodialysis (HD). Educational interventions involving energy conservation strategies are helpful in reducing fatigue. However, the effectiveness of energy conservation has not been previously studied in people with ESKD receiving HD. This study aims to develop and evaluate the effectiveness of energy conservation education intervention for people with end-stage kidney disease receiving haemodialysis (EVEREST) in Nepal.

Symptom Management Theory (SMT) will guide this study. A pragmatic cluster randomised controlled trial (pCRT) will be conducted in one dialysis centre in Nepal. People on HD who meet the eligibility criteria will be invited to participate. The primary outcome is fatigue severity and the secondary outcome are other renal symptoms, occupational performance and health-related quality of life. Intention to treat analysis will occur and will include a change in the primary and secondary outcome. The study will provide evidence about the feasibility and effectiveness of EVEREST for symptom management.","NO","Fatigue|End Stage Kidney Disease|Quality of Life","OTHER: Energy conservation education intervention for people with end-stage kidney disease receiving hemodialysis","Changes in Fatigue Symptom Inventory (FSI), Fatigue Symptom Inventory (FSI) will be used to assess the severity, frequency, interference associated with fatigue and daily pattern of fatigue. The scale consists of 14 items rated on the 11-point items., Baseline and week 4|Changes in Fatigue Symptom Inventory (FSI), The scale consists of 14 items rated on the 11-point items., Baseline and week 8|Changes in Fatigue Symptom Inventory (FSI), The scale consists of 14 items rated on the 11-point items., Baseline and week 12","ALL","ADULT, OLDER_ADULT",NA,126,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2020-08","2021-06","2023-02","2020-04-24","","2020-04-24","","other"
